Feature,Importance
rolling_mean_28,0.10612096832271187
rolling_mean_14,0.10251085463386002
rolling_median_28,0.0914993008382019
rolling_mean_30,0.08767725413183157
rolling_median_14,0.06786967509485935
rolling_median_30,0.06599166234951208
rolling_mean_7,0.05706951849878422
rolling_mean_60,0.04689667462793413
rolling_median_7,0.04521891506488284
rolling_mean_90,0.039401126100789705
ema_05,0.03533242165658588
rolling_median_60,0.03202031644014865
lag_7,0.021936951271861915
rolling_max_28,0.021276433553193322
rolling_max_14,0.020435430538630683
rolling_median_90,0.018644605714897768
ema_07,0.014433983792700535
rolling_min_7,0.014426184104852644
lag_14,0.01151967473451743
rolling_max_7,0.011294308227209452
rolling_min_14,0.011181451182779564
expanding_mean,0.00839194759388065
dayofweek,0.007394062581741632
is_weekend,0.007363196144908433
rolling_max_30,0.006740138612316601
expanding_max,0.005993102075016889
ema_08,0.005605860539788865
expanding_std,0.0037267444804437652
lag_28,0.003660032639056366
ema_095,0.0027094364437692136
rolling_min_28,0.002708044790488029
store_sales_trend,0.0015882211017456992
rolling_min_30,0.0015582452618627964
dayofyear,0.0013576760707008934
ema_09,0.0013497401474818506
lag_30,0.0011061305825481242
rolling_std_90,0.001083482166790358
rolling_std_60,0.0010554717303371292
lag_1,0.0010185033112338293
weekofyear,0.0009988361669944503
rolling_std_30,0.0009794182878210872
rolling_std_28,0.0009768667719675108
rolling_std_14,0.0009586807651219682
lag_60,0.0009299657176493344
rolling_std_7,0.0009123124511245651
sales_monthly_growth,0.0009081147081457185
sales_weekly_growth,0.0008270095130402663
lag_90,0.0007158835703711298
day,0.0006558906065143408
lag_180,0.0006184752404061551
item_avg_sales,0.0005707200527471679
month,0.0005685245496749667
lag_364,0.0005586423637563849
item,0.0005550205367275747
store,0.0003761052502574372
store_avg_sales,0.00037548990252073833
quarter,0.0002655905573001782
year,5.5179643556433325e-05
is_holiday,2.124808837933177e-05
expanding_min,4.278101066473487e-06
days_to_holiday,0.0
days_after_holiday,0.0
long_weekend,0.0
festival_week,0.0
