Feature,Importance
dayofyear,1227
store_sales_trend,831
rolling_mean_14,794
dayofweek,725
weekofyear,710
rolling_mean_28,385
rolling_mean_30,384
expanding_mean,289
rolling_mean_7,276
lag_7,227
rolling_median_14,209
is_weekend,190
rolling_mean_60,187
lag_14,159
lag_28,141
rolling_mean_90,125
lag_90,115
sales_monthly_growth,107
month,102
rolling_median_28,95
rolling_median_90,90
lag_364,87
sales_weekly_growth,82
lag_30,79
rolling_median_60,74
rolling_median_7,72
rolling_median_30,68
lag_60,64
rolling_max_7,62
rolling_min_7,52
lag_180,45
rolling_std_60,45
rolling_std_90,45
rolling_max_14,44
expanding_max,44
rolling_max_28,40
rolling_max_30,39
expanding_std,38
rolling_std_28,36
rolling_std_30,35
year,32
rolling_min_30,30
ema_05,26
rolling_min_28,24
rolling_std_7,23
ema_08,22
rolling_std_14,21
lag_1,20
rolling_min_14,15
ema_09,15
item_avg_sales,15
day,14
quarter,12
ema_07,12
expanding_min,12
ema_095,9
item,9
store,7
store_avg_sales,4
is_holiday,1
days_to_holiday,0
days_after_holiday,0
long_weekend,0
festival_week,0
