Feature,Importance
rolling_mean_14,0.13217928061314926
rolling_median_28,0.11737995022616989
rolling_mean_28,0.08748736757051884
rolling_mean_30,0.07611411927889714
rolling_median_7,0.0688528369886193
rolling_median_30,0.06587347299157545
rolling_mean_90,0.06306576299312842
rolling_mean_7,0.05425960176128063
rolling_mean_60,0.050068182738257375
rolling_median_14,0.04443139059556093
rolling_median_60,0.043788978052484315
rolling_max_14,0.028908641099158326
rolling_max_28,0.02395056010362424
rolling_min_14,0.0190578232620715
rolling_max_30,0.01763260463370866
rolling_median_90,0.01369091703263213
lag_7,0.011831074354435842
expanding_mean,0.011034149318375989
lag_14,0.010205140910494964
ema_05,0.008028095124950266
dayofweek,0.007762113862736745
rolling_min_7,0.007717653680294551
is_weekend,0.007125639936227286
rolling_max_7,0.0058778557117443574
ema_095,0.005868796980889452
lag_28,0.003803226331501034
expanding_std,0.0016937571089630928
ema_07,0.001251863577910639
ema_09,0.0011322584701856362
rolling_min_28,0.0010498854997489455
lag_60,0.0008342660739096766
dayofyear,0.0006965436581828983
store_sales_trend,0.000638165289163412
ema_08,0.0006125120071728568
weekofyear,0.0005356261690051441
rolling_std_60,0.0003609210754092988
rolling_std_90,0.0003508062303619331
rolling_min_30,0.0003460609004636486
rolling_std_30,0.0003350320687582715
sales_monthly_growth,0.0003256295995553047
month,0.0003168274832887148
rolling_std_28,0.0002957534459005395
lag_1,0.0002952830379319626
rolling_std_14,0.0002938051107345128
lag_364,0.0002835132585142301
lag_30,0.00026672324815102904
rolling_std_7,0.000264865601972172
expanding_max,0.00023113435207610276
sales_weekly_growth,0.00021765151000357412
item_avg_sales,0.00021533900466147104
store_avg_sales,0.00021475775710820996
lag_90,0.00020359405433180157
lag_180,0.0001945700620323494
quarter,0.00016025004642506325
day,0.00014248752702696662
item,0.00012868655551099992
store,8.394800118185412e-05
year,2.1585448395175737e-05
is_holiday,6.9305123918299065e-06
expanding_min,3.7301010838398517e-06
days_to_holiday,0.0
days_after_holiday,0.0
long_weekend,0.0
festival_week,0.0
