Feature,Importance
rolling_mean_14,0.44466257
rolling_mean_28,0.24536914
rolling_mean_30,0.19282055
is_weekend,0.023310103
rolling_median_30,0.014725913
rolling_mean_7,0.0114689665
rolling_mean_60,0.008203645
rolling_median_14,0.0067346008
lag_7,0.0061611305
dayofweek,0.005891341
rolling_median_28,0.004794385
lag_14,0.0029019408
expanding_mean,0.0024078425
rolling_mean_90,0.0014661469
rolling_median_60,0.0014089029
dayofyear,0.001071655
rolling_max_28,0.0009588823
expanding_min,0.0009457242
store_sales_trend,0.0009454735
rolling_max_30,0.0008050958
rolling_median_90,0.00077465276
weekofyear,0.00074534625
quarter,0.0007258862
rolling_min_30,0.0007179962
rolling_max_14,0.0007055993
ema_08,0.00069990236
rolling_max_7,0.00069332443
ema_095,0.0006870011
rolling_median_7,0.0006858794
expanding_std,0.0006654751
ema_09,0.0006637571
rolling_min_28,0.00066365104
rolling_min_7,0.0006460957
expanding_max,0.0006458614
rolling_min_14,0.00062806444
rolling_std_90,0.0006253553
ema_05,0.0006243215
ema_07,0.0006225495
lag_28,0.00060741295
sales_monthly_growth,0.0006007385
sales_weekly_growth,0.00058786845
rolling_std_30,0.0005877368
rolling_std_60,0.00057966314
lag_364,0.00057934754
item_avg_sales,0.0005674914
rolling_std_28,0.0005618219
store_avg_sales,0.00055615726
rolling_std_14,0.0005515694
lag_180,0.0005489823
rolling_std_7,0.00054730923
lag_90,0.00054494885
item,0.00052538404
lag_60,0.0005248407
lag_30,0.0005132039
store,0.00050679204
is_holiday,0.00036443622
lag_1,0.00032828367
day,0.00022152945
year,0.0001725735
month,0.00014720728
days_to_holiday,0.0
days_after_holiday,0.0
long_weekend,0.0
festival_week,0.0
