Feature,Importance
lag_7,0.37861142
rolling_median_14,0.30333763
rolling_median_30,0.071274325
ema_07,0.055327926
rolling_median_7,0.055107806
lag_14,0.034123816
is_weekend,0.026602352
dayofweek,0.02137897
lag_28,0.017638482
ema_08,0.007609403
month,0.0055366177
expanding_mean,0.0048768083
weekofyear,0.0045859665
day,0.003178214
dayofyear,0.0017496819
quarter,0.0011295744
rolling_std_7,0.0009586989
lag_1,0.0009412009
ema_095,0.0007524222
year,0.0007353728
lag_30,0.0007327345
rolling_std_14,0.00070305454
ema_09,0.0006793913
rolling_std_90,0.0006717769
lag_90,0.0005818154
rolling_std_30,0.0004879373
store,0.00035944066
item,0.0003272082
