Feature,Importance
rolling_mean_14,0.43272746
rolling_mean_28,0.23674771
rolling_mean_30,0.2042943
is_weekend,0.022368258
rolling_median_30,0.014360958
rolling_mean_60,0.013226442
rolling_mean_7,0.01179705
rolling_median_14,0.0069058863
lag_7,0.0066174865
dayofweek,0.006372416
rolling_median_28,0.004800654
lag_14,0.0030235755
rolling_median_60,0.0028939527
rolling_mean_90,0.0019193854
expanding_mean,0.0013827395
store_sales_trend,0.001334633
dayofyear,0.0012278015
expanding_min,0.0010952358
rolling_max_28,0.0010346993
rolling_median_90,0.00092498097
rolling_max_30,0.0009056732
weekofyear,0.0008772491
rolling_max_14,0.0007911982
rolling_min_30,0.0007732929
ema_095,0.0007646928
rolling_max_7,0.0007590275
rolling_median_7,0.0007565279
ema_08,0.00074773846
ema_09,0.0007276817
quarter,0.00072555104
rolling_min_28,0.00070984045
expanding_std,0.00070875394
rolling_min_7,0.00070825615
expanding_max,0.0007023647
rolling_min_14,0.0006854441
ema_07,0.0006786876
rolling_std_90,0.00066872826
ema_05,0.0006667069
sales_monthly_growth,0.0006624578
lag_28,0.0006481341
sales_weekly_growth,0.0006444281
rolling_std_60,0.0006429213
rolling_std_30,0.0006364038
lag_364,0.0006198506
lag_90,0.0006045296
rolling_std_14,0.0006005348
rolling_std_28,0.0006002449
rolling_std_7,0.0005977757
item_avg_sales,0.00059739436
lag_180,0.0005913281
lag_60,0.00058339676
item,0.0005752357
lag_30,0.00056371436
store_avg_sales,0.00054981175
store,0.0005440247
is_holiday,0.00039829026
lag_1,0.0003604695
day,0.00024650726
month,0.00016973699
year,0.00014971638
days_to_holiday,0.0
days_after_holiday,0.0
long_weekend,0.0
festival_week,0.0
